feature_id,name,feature_type,latitude,longitude,flood_risk
way/353770144,,building,19.0387162,73.0272445,True
way/353770145,,building,19.0375476,73.0275236,True
way/353770146,,building,19.0366261,73.0268694,True
way/353770147,,building,19.0367308,73.024541,True
way/353770148,,building,19.0402871,73.0243842,True
way/353770149,,building,19.0365333,73.0265522,True
way/353770150,,building,19.0376732,73.0273572,True
way/353770151,,building,19.0389692,73.0278795,True
way/353770152,,building,19.0368462,73.0272363,True
way/353770153,,building,19.0392996,73.0256427,True
way/353770154,,building,19.0386385,73.0271333,True
way/353770155,,building,19.038592,73.0282636,True
way/353770156,,building,19.0384109,73.0279816,True
way/353770157,,building,19.0384261,73.0283148,True
way/353770158,,building,19.0378512,73.0271921,True
way/353791717,,building,19.0310916,73.0228861,True
way/353791719,,building,19.0311875,73.0224663,True
way/353791724,,building,19.0328443,73.021648,True
way/353791725,,building,19.0326725,73.0250009,True
way/353791727,,building,19.0326617,73.0255182,True
way/353791730,,building,19.0329198,73.0212556,True
way/353791751,,building,19.0327702,73.0239759,True
way/353791754,,building,19.0323034,73.0234256,True
way/353791756,,building,19.0323984,73.021108,True
way/353791759,,building,19.0307284,73.026258,True
way/353791760,,building,19.0306612,73.0267611,True
way/353791762,,building,19.0325342,73.0209791,True
way/353791763,,building,19.0326892,73.0226072,True
way/353791765,,building,19.0303848,73.0246076,True
way/353791768,,building,19.0355996,73.0224474,True
way/353791769,,building,19.0389258,73.024454,True
way/353791771,,building,19.0313319,73.0227051,True
way/353791775,,building,19.0343113,73.0242731,True
way/353791778,,building,19.0342295,73.0207765,True
way/353791781,,building,19.0383726,73.0238505,True
way/353791783,,building,19.0308382,73.0258149,True
way/353791787,,building,19.0334912,73.0233844,True
way/353791790,,building,19.030075,73.0247923,True
way/353791795,,building,19.0328915,73.0228227,True
way/353791796,,building,19.0324553,73.0224749,True
way/353791798,,building,19.0334986,73.0207793,True
way/353791802,,building,19.0386135,73.0229877,True
way/353791805,,building,19.0326198,73.0213849,True
way/353791810,,building,19.0379088,73.0238438,True
way/353791812,,building,19.0338927,73.0238939,True
way/353791815,,building,19.0386264,73.0234548,True
way/353791828,,building,19.0341519,73.0231331,True
way/353791830,,building,19.0345304,73.0238526,True
way/353791831,,building,19.0295633,73.0263577,True
way/353791833,,building,19.0321305,73.0210338,True
way/353791836,,building,19.0330013,73.0221927,True
way/353791838,,building,19.0399507,73.0237145,True
way/353791839,,building,19.0355981,73.0245034,True
way/353791840,,building,19.0355455,73.0241304,True
way/353791841,,building,19.0342095,73.0240762,True
way/353791842,,building,19.032887,73.0231553,True
way/353791843,,building,19.0346845,73.0237085,True
way/353791848,,building,19.0346824,73.024683,True
way/353791850,,building,19.0322867,73.0236508,True
way/353791851,,building,19.0348592,73.0235242,True
way/353791853,,building,19.0353483,73.024318,True
way/353791854,,building,19.0296231,73.0253788,True
way/353791858,,building,19.0341018,73.0234133,True
way/353791860,,building,19.0345369,73.023525,True
way/353791862,,building,19.0296312,73.0260411,True
way/353791863,,building,19.0326832,73.0206528,True
way/353791866,,building,19.0329138,73.0223105,True
way/353791867,,building,19.0351796,73.0244916,True
way/353791870,,building,19.0318526,73.021023,True
way/353791873,,building,19.0301381,73.0265713,True
way/353791876,,building,19.0331802,73.0248044,True
way/353791879,,building,19.0349216,73.0219577,True
way/353791880,,building,19.0342131,73.0222075,True
way/353791883,,building,19.0317061,73.0258596,True
way/353791885,,building,19.0332968,73.0236873,True
way/353791887,,building,19.0346416,73.0239477,True
way/353791888,,building,19.035684,73.0239807,True
way/353791890,,building,19.0309923,73.0250183,True
way/353791891,,building,19.0340002,73.0233219,True
way/353791893,,building,19.0342619,73.0232509,True
way/353791894,,building,19.033236,73.0232004,True
way/353791896,,building,19.029629,73.0261916,True
way/353791897,,building,19.0326296,73.0208659,True
way/353791900,,building,19.0350813,73.024376,True
way/353791903,,building,19.0301327,73.0263198,True
way/353791905,,building,19.0347591,73.0217185,True
way/353791906,,building,19.0358098,73.0238108,True
way/353791908,,building,19.0349577,73.0236216,True
way/353791911,,building,19.0331394,73.0239966,True
way/353791913,,building,19.034159,73.0227973,True
way/353791915,,building,19.0309598,73.0226495,True
way/353791918,,building,19.0318953,73.0249763,True
way/353791919,,building,19.0321958,73.020675,True
way/353791923,,building,19.030864,73.0246525,True
way/353791926,,building,19.0312824,73.0250909,True
way/353791929,,building,19.0300485,73.0259168,True
way/353791932,,building,19.0330587,73.0223873,True
way/353791934,,building,19.0340895,73.0239867,True
way/353791935,,building,19.0347898,73.0238025,True
way/353791939,,building,19.0386229,73.0224047,True
way/353791940,,building,19.0338556,73.0231691,True
way/353791944,,building,19.0321437,73.0208976,True
way/353791945,,building,19.0354422,73.0240319,True
way/353791948,,building,19.0303212,73.0256562,True
way/353791950,,building,19.0345483,73.021406,True
way/353791951,,building,19.0352314,73.0242008,True
way/353791953,,building,19.0333335,73.0212071,True
way/353791960,,building,19.0348064,73.0249015,True
way/353791961,,building,19.0332626,73.0203809,True
way/353791965,,building,19.0387059,73.0247366,True
way/353791968,,building,19.0301091,73.0253798,True
way/353791971,,building,19.0340127,73.0241945,True
way/353791972,,building,19.0386538,73.0242241,True
way/353791973,,building,19.0397811,73.0235525,True
way/353791975,,building,19.0351103,73.0253012,True
way/353791976,,building,19.0337019,73.0236537,True
way/353805012,Safal Ganga CHS,building,19.0306618,73.0231303,True
way/353805014,,building,19.0305568,73.0249313,True
way/353805026,,building,19.0379947,73.0258519,True
way/353805027,,building,19.0376531,73.0262422,True
way/353805028,,building,19.0303035,73.0232687,True
way/353805029,,building,19.0376633,73.0255315,True
way/353805030,,building,19.0319808,73.0213389,True
way/353805038,,building,19.0271004,73.0232913,True
way/353805042,,building,19.0302384,73.0225808,True
way/353805043,,building,19.0293502,73.0212343,True
way/353805044,,building,19.0292569,73.0237612,True
way/353805045,,building,19.02968,73.0238008,True
way/353805048,,building,19.0309474,73.0214531,True
way/353805049,,building,19.0300359,73.0233815,True
way/353805050,,building,19.0296841,73.0212411,True
way/353805051,,building,19.0278623,73.0231749,True
way/353805054,,building,19.0291257,73.0216174,True
way/353805059,,building,19.0276118,73.0231501,True
way/353805060,,building,19.0362044,73.0225701,True
way/353805063,,building,19.0299643,73.0223135,True
way/353805069,,building,19.0297165,73.0220784,True
way/353805078,,building,19.0317443,73.0213581,True
way/353805082,,building,19.0305222,73.0219987,True
way/353805088,,building,19.0298574,73.0214175,True
way/353805089,,building,19.0292809,73.0232159,True
way/353805095,,building,19.029459,73.022561,True
way/353805096,,building,19.0272217,73.0233327,True
way/353805097,,building,19.0294937,73.0218571,True
way/353805100,,building,19.0301466,73.0224658,True
way/353805101,,building,19.0293926,73.0210876,True
way/353805104,,building,19.0308704,73.0212856,True
way/353805105,,building,19.0307752,73.0215174,True
way/353805106,,building,19.0309192,73.0221741,True
way/353805110,,building,19.0290079,73.021751,True
way/353805111,,building,19.0306594,73.0219132,True
way/353805113,,building,19.0363165,73.0224568,True
way/353805115,,building,19.0300729,73.0222544,True
way/353805130,,building,19.0291142,73.0237445,True
way/353805132,,building,19.0304777,73.0222688,True
way/353805133,,building,19.0308376,73.0220437,True
way/353805135,,building,19.0296606,73.0216087,True
way/353805137,,building,19.0290036,73.0234841,True
way/353805141,,building,19.0289966,73.0215811,True
way/353805145,,building,19.0296021,73.0224836,True
way/353805146,,building,19.0276919,73.0233934,True
way/353805147,,building,19.029357,73.0217589,True
way/353805150,,building,19.0298924,73.0227324,True
way/353805153,,building,19.0275699,73.0225011,True
way/353805156,,building,19.0304057,73.0209142,True
way/353805157,,building,19.0305229,73.0216588,True
way/353805158,,building,19.0307066,73.0213881,True
way/353805160,,building,19.0288704,73.0220096,True
way/353805162,,building,19.0307765,73.0218609,True
way/353805164,,building,19.0295265,73.0237955,True
way/353805165,,building,19.0288713,73.0234579,True
way/353805166,,building,19.0301841,73.0221751,True
way/353805171,,building,19.0302939,73.0207762,True
way/353805176,,building,19.0278424,73.0233976,True
way/353805180,,building,19.0300291,73.0226986,True
way/353805182,,building,19.0289747,73.023739,True
way/353805183,,building,19.0305354,73.0207954,True
way/353805184,,building,19.0301036,73.0218684,True
way/353805186,,building,19.0305505,73.0223705,True
way/353805187,,building,19.0306497,73.0221705,True
way/353805189,,building,19.0297623,73.0215158,True
way/353805190,,building,19.0291463,73.021133,True
way/353805191,,building,19.0271838,73.022613,True
way/353805192,,building,19.028947,73.0218763,True
way/353805194,,building,19.0288776,73.0215551,True
way/353805197,,building,19.0297458,73.0224457,True
way/353805198,,building,19.0303004,73.0221423,True
way/353805201,,building,19.0292439,73.0221275,True
way/353805203,,building,19.0359839,73.0228059,True
way/353805206,,building,19.0274418,73.0224182,True
way/353805212,,building,19.0309077,73.0218047,True
way/353805215,,building,19.0293943,73.0237865,True
way/353805216,,building,19.0288921,73.0232511,True
way/353805218,,building,19.0299733,73.0230982,True
way/353805220,,building,19.0296248,73.0213996,True
way/353805221,,building,19.0277429,73.0231635,True
way/353805226,,building,19.0274474,73.0231582,True
way/353805227,,building,19.0299773,73.0225507,True
way/353805228,,building,19.0288306,73.023723,True
way/353805229,,building,19.0304301,73.0206679,True
way/353805230,,building,19.0299839,73.021953,True
